school_name,school_code,latitude,longitude,status,google_name,google_lat,google_lng,google_address,distance_m,your_pin_link,google_pin_link
SJK(T) LADANG PADANG MEIHA,KBD5046,5.50335,100.63152,confirmed,Sekolah Jenis Kebangsaan (Tamil) Ladang Padang Meiha,5.5029138,100.6315248,"09010 Karangan, Kedah, Malaysia",49.0,"https://www.google.com/maps?q=5.50335,100.63152","https://www.google.com/maps?q=5.5029138,100.6315248"
SJK(T) BUKIT LINTANG,MBD2084,2.216028,102.338307,confirmed,SK Tambak Paya,2.2174738,102.3368527,"75460, Kampung Tambak Paya, 75460 Ayer Molek, Malacca, Malaysia",228.0,"https://www.google.com/maps?q=2.216028,102.338307","https://www.google.com/maps?q=2.2174738,102.3368527"
SJK(T) LADANG KAMATCHY,ABDB015,3.93177,100.944355,confirmed,SJK (T) Ladang Kamatchy,3.9322915,100.9445494,"batu, Lorong 9, 36400 Hutan Melintang, Perak, Malaysia",62.0,"https://www.google.com/maps?q=3.93177,100.944355","https://www.google.com/maps?q=3.9322915,100.9445494"
SJK(T) LADANG BUKIT KAJANG,MBD1055,2.238976,102.366922,confirmed,SJK(T) Ladang Bukit Kajang,2.2390617,102.3670035,"SJKT LADANG BUKIT KAJANG BEMBAN, 77200 Jasin, Malacca, Malaysia",13.0,"https://www.google.com/maps?q=2.238976,102.366922","https://www.google.com/maps?q=2.2390617,102.3670035"
SJK(T) SUNGAI ARA,PBD3032,5.322299,100.270899,confirmed,SMK Sungai Ara,5.319105599999999,100.2713038,"Jalan Dato Ismail Hashim, Taman Seri Acres, 11900 Bayan Lepas, Pulau Pinang, Malaysia",358.0,"https://www.google.com/maps?q=5.322299,100.270899","https://www.google.com/maps?q=5.319105599999999,100.2713038"
SJK(T) LABIS,JBD7061,2.38252687058254,103.017618656158,confirmed,Sekolah Kebangsaan Sri Labis,2.3817859,103.0176498,"Jalan Muar, Labis, 85300 Labis, Johor Darul Ta'zim, Malaysia",82.0,"https://www.google.com/maps?q=2.38252687058254,103.017618656158","https://www.google.com/maps?q=2.3817859,103.0176498"
SJK(T) JALAN KHALIDI,JBD5080,2.038429,102.5621,confirmed,Sekolah Menengah Kebangsaan Seri Muar,2.0426011,102.5624757,"Jalan Meriam, Taman Sri Tanjung, 84000 Muar, Johor Darul Ta'zim, Malaysia",466.0,"https://www.google.com/maps?q=2.038429,102.5621","https://www.google.com/maps?q=2.0426011,102.5624757"
SJK(T) MUKUNDAN,NBD2052,2.639511,101.740097,confirmed,SJK(T) Mukundan,2.6394126000000004,101.7401027,"Kampung Sungai Nipah, 71960 Port Dickson, Negeri Sembilan, Malaysia",11.0,"https://www.google.com/maps?q=2.639511,101.740097","https://www.google.com/maps?q=2.6394126000000004,101.7401027"
SJK(T) TAPAH,ABD0073,4.194475,101.264119,confirmed,SJK(T) Tapah,4.1949846,101.2633816,"No. 1, Jalan Dato' Ponnusamy Pillai, 35000, Tapah, Perak, 35000 Tapah, Perak, Malaysia",99.0,"https://www.google.com/maps?q=4.194475,101.264119","https://www.google.com/maps?q=4.1949846,101.2633816"
SJK(T) LADANG AIR HITAM,NBD6002,2.926925,102.378156,confirmed,SJK (T) Ladang Ayer Hitam,2.92699,102.37756,"Sjk (t) Ladang Ayer Hitam, Jalan Air Hitam - Serting Ulu, Kampung Baru Cina, 72120 Bandar Seri Jempol, Ayer Hitam, Malaysia",67.0,"https://www.google.com/maps?q=2.926925,102.378156","https://www.google.com/maps?q=2.92699,102.37756"
SJK(T) LADANG RASAK,BBD8466,3.170398,101.509855,confirmed,SK Taman Bukit Subang,3.1721266,101.5136067,"SK Taman Bukit Subang, Taman Bukit Subang, 40150 Shah Alam, Malaysia",459.0,"https://www.google.com/maps?q=3.170398,101.509855","https://www.google.com/maps?q=3.1721266,101.5136067"
SJK(T) SUNGAI BAKAP,PBD4034,5.223683333,100.499780599999,confirmed,Sekolah Jenis Kebangsaan (Tamil) Sungai Bakap,5.2238259,100.499761,"Kampung Permatang Ara, 14200 Sungai Jawi, Pulau Pinang, Malaysia",16.0,"https://www.google.com/maps?q=5.223683333,100.499780599999","https://www.google.com/maps?q=5.2238259,100.499761"
SJK(T) METHODIST,ABD2163,4.590871,101.06091,confirmed,SJK(T) Methodist Buntong Ipoh,4.5908609,101.0610357,"Sjk (t) Methodist Buntong Ipoh, Jalan Madras, 30100 Ipoh, Perak, Malaysia",14.0,"https://www.google.com/maps?q=4.590871,101.06091","https://www.google.com/maps?q=4.5908609,101.0610357"
SJK(T) LADANG SIN WAH,ABD6110,4.916261805,100.7195954,offset,SJK (T) Ladang Sin Wah,4.916078,100.726173,"Jalan Ladang Sin Wah, 34600 Kamunting, Perak, Malaysia",729.0,"https://www.google.com/maps?q=4.916261805,100.7195954","https://www.google.com/maps?q=4.916078,100.726173"
SJK(T) LADANG PRYE,PBD0038,5.37678,100.396,confirmed,SMK Perai,5.3773502,100.396845,"Jalan Perai, Perai, 13700 Butterworth, Pulau Pinang, Malaysia",113.0,"https://www.google.com/maps?q=5.37678,100.396","https://www.google.com/maps?q=5.3773502,100.396845"
SJK(T) TUN SAMBANTHAN,KBD3085,5.716853,100.559421,confirmed,SK Aman Jaya,5.7169623,100.5635996,"08010 Bedong, Kedah, Malaysia",462.0,"https://www.google.com/maps?q=5.716853,100.559421","https://www.google.com/maps?q=5.7169623,100.5635996"
SJK(T) BANDAR SEGAMAT,JBD7067,2.495298667,102.8451794,confirmed,SMK Paduka Tuan,2.4913129,102.8434448,"Jalan Genuang, Bandar Segamat Baru, 85000 Segamat, Johor Darul Ta'zim, Malaysia",483.0,"https://www.google.com/maps?q=2.495298667,102.8451794","https://www.google.com/maps?q=2.4913129,102.8434448"
SJK(T) LADANG EBOR,BBD8461,3.064007,101.558782,confirmed,SJK(T) Ladang Ebor,3.063978,101.5587421,"Persiaran Teknologi Subang, Taman Teknologi Tinggi Subang, 40150 Subang Jaya, Selangor, Malaysia",5.0,"https://www.google.com/maps?q=3.064007,101.558782","https://www.google.com/maps?q=3.063978,101.5587421"
SJK(T) LADANG TELUK BULOH,ABDB005,3.876731,100.953069,confirmed,SJK(T) Ladang Teluk Buloh,3.8765017,100.9533683,"36400 Hutan Melintang, Perak, Malaysia",42.0,"https://www.google.com/maps?q=3.876731,100.953069","https://www.google.com/maps?q=3.8765017,100.9533683"
SJK(T) GEMAS,NBD5034,2.58269,102.607,confirmed,SMK Tuanku Abdul Rahman,2.5836114,102.6077423,"Jalan Bakti 2, Gemas, 73400 Gemas, Negeri Sembilan, Malaysia",132.0,"https://www.google.com/maps?q=2.58269,102.607","https://www.google.com/maps?q=2.5836114,102.6077423"
SJK(T) PULAU SEBANG,MBD0068,2.453501093,102.2269419,confirmed,Surau Al Falah Rumah Awam III,2.450682,102.2281042,"Jalan Bunga Tanjung, Kampung Pulau Sebang, 78000 Alor Gajah, Melaka, Malaysia",339.0,"https://www.google.com/maps?q=2.453501093,102.2269419","https://www.google.com/maps?q=2.450682,102.2281042"
SJK(T) LADANG WEST COUNTRY 'BARAT',BBD9461,2.974526,101.725662,confirmed,SJK (Tamil) Ladang West Country Barat,2.974953,101.7261496,"Jalan Kajang - Puchong, 43009 Kajang, Selangor, Malaysia",72.0,"https://www.google.com/maps?q=2.974526,101.725662","https://www.google.com/maps?q=2.974953,101.7261496"
SJK(T) LADANG JALAN ACOB,BBD0075,3.16025,101.377604,confirmed,Acob Tamil School - SJK(T) ACOB,3.1603434,101.3774337,"Jalan Akob, Kampung Kapar, 42200 Kapar, Selangor, Malaysia",22.0,"https://www.google.com/maps?q=3.16025,101.377604","https://www.google.com/maps?q=3.1603434,101.3774337"
